crop,imagem_original,caption
100_1867_crop_0.jpeg,100_1867_crop.jpg,a woman walking down a street with a black purse
100_1867_crop_1.jpeg,100_1867_crop.jpg,a man is standing on a skateboard
100_1867_crop_2.jpeg,100_1867_crop.jpg,a red and white poster with a black and white image
100_1867_crop_3.jpeg,100_1867_crop.jpg,a horse with a saddle and a saddle
100_1867_crop_4.jpeg,100_1867_crop.jpg,the back of a woman ' s backpack
100_1867_crop_5.jpeg,100_1867_crop.jpg,a woman with a backpack and a handbag
6d743026-d6d2-479f-aaaf-7f0e5062f293_crop_0.jpeg,6d743026-d6d2-479f-aaaf-7f0e5062f293_crop.jpg,a man in a red shirt and black pants
6d743026-d6d2-479f-aaaf-7f0e5062f293_crop_1.jpeg,6d743026-d6d2-479f-aaaf-7f0e5062f293_crop.jpg,a poster with a picture of a man in a field
6d743026-d6d2-479f-aaaf-7f0e5062f293_crop_2.jpeg,6d743026-d6d2-479f-aaaf-7f0e5062f293_crop.jpg,a poster with a picture of a man in a black jacket
6d743026-d6d2-479f-aaaf-7f0e5062f293_crop_3.jpeg,6d743026-d6d2-479f-aaaf-7f0e5062f293_crop.jpg,a large rock with a person standing next to it
6d743026-d6d2-479f-aaaf-7f0e5062f293_crop_4.jpeg,6d743026-d6d2-479f-aaaf-7f0e5062f293_crop.jpg,a black and white photo of a person in a red frame
6d743026-d6d2-479f-aaaf-7f0e5062f293_crop_5.jpeg,6d743026-d6d2-479f-aaaf-7f0e5062f293_crop.jpg,a red book cover with a picture of a man in a white shirt
6d743026-d6d2-479f-aaaf-7f0e5062f293_crop_6.jpeg,6d743026-d6d2-479f-aaaf-7f0e5062f293_crop.jpg,a red square with four pictures of a man in a suit
6d743026-d6d2-479f-aaaf-7f0e5062f293_crop_7.jpeg,6d743026-d6d2-479f-aaaf-7f0e5062f293_crop.jpg,a person in a red frame with a red frame
7A39F18B-FBA3-4F96-93DE-8735F63E4B67_crop_0.jpeg,7A39F18B-FBA3-4F96-93DE-8735F63E4B67_crop.jpg,a book cover with a picture of a man in a suit
7A39F18B-FBA3-4F96-93DE-8735F63E4B67_crop_1.jpeg,7A39F18B-FBA3-4F96-93DE-8735F63E4B67_crop.jpg,a man in a white shirt and a man in a green shirt
IMG_0818-2_crop_0.jpeg,IMG_0818-2_crop.jpg,a man in a blue shirt and white shorts
IMG_0818-2_crop_1.jpeg,IMG_0818-2_crop.jpg,a man in a blue shirt playing a game of beach volleyball
IMG_0818-2_crop_2.jpeg,IMG_0818-2_crop.jpg,a soccer ball with the words soccer
IMG_1502_crop_0.jpeg,IMG_1502_crop.jpg,a rock covered in moss and moss
IMG_1502_crop_1.jpeg,IMG_1502_crop.jpg,a bird is sitting on the ground
IMG_3420_crop_0.jpeg,IMG_3420_crop.jpg,a man in a green shirt and white shorts
IMG_3420_crop_1.jpeg,IMG_3420_crop.jpg,a man kicking a soccer ball on a beach
IMG_3708_crop_0.jpeg,IMG_3708_crop.jpg,a man in a pink shirt is holding a watch
a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop_0.jpeg,a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop.jpg,a man in a red shirt and black pants
a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop_1.jpeg,a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop.jpg,a woman in a white shirt and black pants is standing on a rocky trail
a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop_2.jpeg,a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop.jpg,a man in a blue shirt and black pants
a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop_3.jpeg,a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop.jpg,a man in a white shirt and a black hat
a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop_4.jpeg,a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop.jpg,a man with a backpack and a red frame
a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop_5.jpeg,a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop.jpg,a woman with a backpack and a red background
a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop_6.jpeg,a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop.jpg,a man in a red shirt and helmet
a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop_7.jpeg,a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop.jpg,a man wearing a backpack with a red frame
a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop_8.jpeg,a6df9c64-bda4-4b4b-a522-096f1ed6eb44_crop.jpg,a man with a backpack and a red background
imagem1_crop_0.jpeg,imagem1_crop.jpg,a yellow flower with a purple border
imagem3_crop_0.jpeg,imagem3_crop.jpg,a white flower with yellow center
imagem3_crop_1.jpeg,imagem3_crop.jpg,a plant with a pink background and a blue border
